cardname,cardq,cardrarity,card_edition,cardset,cardcode,cardid,print_id,description,cardtype,type,monstertype,attribute,atk,def,level,pscales,lcount,larrows
Fiendsmith's Desirae ,0,Ultra Rare,Unlimited,Master Pack; The Forbidden Liberated,,82135803,,"""Fiendsmith Engraver"" + 2 LIGHT Fiend monsters
(Quick Effect): You can negate the effects of a number of face-up cards on the field, up to the total Link Rating of Link Monsters equipped to this card, until the end of this turn. If this card is sent to the GY: You can shuffle 1 other LIGHT Fiend monster from your GY into the Deck/Extra Deck, then target 1 card on the field; send it to the GY. You can only use each effect of ""Fiendsmith's Desirae"" once per turn.",Monster,Fusion;Effect,Fiend,LIGHT,2800,2400,9,,,
Fiendsmith's Lacrima ,0,Ultra Rare,Unlimited,Master Pack; The Forbidden Liberated,,46640168,,"2 LIGHT Fiend monsters
Monsters your opponent controls lose 600 ATK. You can only use each of the following effects of ""Fiendsmith's Lacrima"" once per turn. If this card is Fusion Summoned: You can target 1 of your LIGHT Fiend monsters that is banished or in your GY; add it to your hand or Special Summon it. If this card is sent to the GY: You can shuffle 1 other LIGHT Fiend monster from your GY into the Deck/Extra Deck; inflict 1200 damage to your opponent.",Monster,Fusion;Effect,Fiend,LIGHT,2400,2400,6,,,
Fiendsmith's Requiem ,0,Super Rare,Unlimited,Master Pack; The Forbidden Liberated,,02463794,,"1 LIGHT Fiend monster
You can only Special Summon ""Fiendsmith's Requiem(s)"" once per turn. During the Main Phase (Quick Effect): You can Tribute this card; Special Summon 1 ""Fiendsmith"" monster from your hand or Deck. You can target 1 LIGHT non-Link Fiend monster you control; equip this card from your field or GY to that monster you control as an Equip Spell that gives it 600 ATK. You can only use this effect of ""Fiendsmith's Requiem"" once per turn.",Monster,Link;Effect,Fiend,LIGHT,600,,,,1,Bottom-Center
Fiendsmith's Rextremende ,0,Ultra Rare,Unlimited,Master Pack; Wrath of the Tyrants,,11464648,,"1 ""Fiendsmith"" Fusion Monster + 1 Fusion or Link Monster
Unaffected by card effects, except ""Fiendsmith"" cards, while equipped with a ""Fiendsmith"" Equip Spell. You can only use each of the following effects of ""Fiendsmith's Rextremende"" once per turn. If this card is Fusion Summoned: You can discard 1 card; send 1 LIGHT Fiend monster from your Deck or Extra Deck to the GY. If this card is sent to the GY: You can target 1 other ""Fiendsmith"" card in your GY or banishment; add it to your hand.",Monster,Fusion;Effect,Fiend,LIGHT,3000,3600,9,,,
Fiendsmith's Sanct ,0,Rare,Unlimited,Master Pack; The Forbidden Liberated,,35552985,,"If you control no face-up monsters, or the only face-up monsters you control are LIGHT Fiend monsters: Special Summon 1 ""Fiendsmith Token"" (Fiend/LIGHT/Level 1/ATK 0/DEF 0), also you cannot declare attacks for the rest of this turn, except with Fiend monsters. If a face-up ""Fiendsmith"" monster(s) you control is destroyed by an opponent's card effect, while this card is in your GY: You can Set this card. You can only use each effect of ""Fiendsmith's Sanct"" once per turn.",Spell,Quick-Play,,,,,,,,
Fiendsmith's Sequence ,0,Super Rare,Unlimited,Master Pack; The Forbidden Liberated,,49867899,,"2 monsters, including a LIGHT Fiend monster
During your Main Phase: You can Fusion Summon 1 Fiend Fusion Monster from your Extra Deck, by shuffling its materials from your GY into the Deck. You can target 1 LIGHT non-Link Fiend monster you control; equip this card from your field or GY to that monster you control as an Equip Spell with the following effect.
●Your opponent cannot target the equipped monster with card effects.
You can only use each effect of ""Fiendsmith's Sequence"" once per turn.",Monster,Link;Effect,Fiend,LIGHT,1200,,,,2,Bottom-Left; Bottom-Right
Fiendsmith's Tract ,0,Ultra Rare,Unlimited,Master Pack; The Forbidden Liberated,,98567237,,"Add 1 LIGHT Fiend monster from your Deck to your hand, then discard 1 card. You can banish this card from your GY; Fusion Summon 1 ""Fiendsmith"" Fusion Monster from your Extra Deck, using monsters from your hand or field. You can only use each effect of ""Fiendsmith's Tract"" once per turn.",Spell,Normal,,,,,,,,
Fiendsmith Engraver ,0,Ultra Rare,Semi-Limited,Master Pack; The Forbidden Liberated,,60764609,,"You can discard this card; add 1 ""Fiendsmith"" Spell/Trap from your Deck to your hand. You can target 1 ""Fiendsmith"" Equip Card you control and 1 monster on the field; send them to the GY. If this card is in your GY: You can shuffle 1 other LIGHT Fiend monster from your GY into the Deck/Extra Deck; Special Summon this card. You can only use each effect of ""Fiendsmith Engraver"" once per turn.",Monster,Effect,Fiend,LIGHT,1800,2400,6,,,
Fiendsmith in Paradise ,0,Common,Unlimited,Master Pack; The Forbidden Liberated,,99989863,,"Target 1 Level 7 or higher LIGHT Fiend monster you control; send all cards on the field to the GY that are not that monster. If your opponent Special Summons a monster(s), while this card is in your GY: You can banish this card; send 1 ""Fiendsmith"" monster from your Deck or Extra Deck to the GY. You can only use each effect of ""Fiendsmith in Paradise"" once per turn.",Trap,Normal,,,,,,,,
Fiendsmith Kyrie ,0,Common,Unlimited,Master Pack; Wrath of the Tyrants,,26434972,,"This turn, your LIGHT Fiend monsters cannot be destroyed by battle, also any battle damage you take becomes halved. You can banish this card from your GY; Fusion Summon 1 ""Fiendsmith"" Fusion Monster from your Extra Deck, using monsters you control, and/or monsters in your Spell & Trap Zones that are equipped to a ""Fiendsmith"" monster as an Equip Spell, as material. You can only use this effect of ""Fiendsmith Kyrie"" once per turn.",Trap,Normal,,,,,,,,
Fiend Comedian ,0,Super Rare,Unlimited,Legacy Pack,,81172176,,"Toss a coin and call it. If you call it right, all your opponent's cards in the Graveyard are removed from play immediately. If you call it wrong, send a number of cards equal to the cards in your opponent's Graveyard from your Deck to your Graveyard.",Trap,Normal,,,,,,,,
Fiend Griefing ,0,Common,Unlimited,Fabled Gods; Master Pack; Mysterious Labyrinth; The Forbidden Liberated,,60743819,,"Target 1 monster in your opponent's GY; shuffle it into the Deck, then you can send 1 Fiend monster from your Deck to the GY.",Trap,Normal,,,,,,,,
Fiend Kraken ,0,Common,Unlimited,Legacy Pack,,77456781,,A giant squid that drags its enemies to a watery grave.,Monster,Normal,Aqua,WATER,1200,1400,4,,,
Fiend Reflection 1 ,0,Common,Unlimited,Legacy Pack,,68870276,,This monster can draw its enemies into mirror world that renders them helpless.,Monster,Normal,Winged Beast,WIND,1300,1400,4,,,
Fiend Reflection 2 ,0,Common,Unlimited,Legacy Pack,,02863439,,A bird-beast that summons reinforcements with a hand mirror.,Monster,Normal,Winged Beast,LIGHT,1100,1400,4,,,
Fiend Reflection of the Millennium ,0,Rare,Unlimited,Master Pack; The Forbidden Liberated,,63947968,,"If this card battles a monster, neither can be destroyed by that battle. You can only use each of the following effects of ""Fiend Reflection of the Millennium"" once per turn. If this card is in your hand: You can place it in your Spell & Trap Zone as a face-up Continuous Spell. If your opponent activates a card or effect, while this card is a Continuous Spell (except during the Damage Step): You can Special Summon this card, then you can gain LP equal to half the ATK of 1 monster on the field.",Monster,Effect,Illusion,WIND,1300,1400,4,,,
Fiend Scorpion ,0,Common,Unlimited,Legacy Pack,,26566878,,"A huge scorpion inhabited by the soul of a fiend. Usually it holds back, but has untapped potential.",Monster,Normal,Insect,EARTH,900,200,2,,,
Fiend Skull Dragon ,0,Super Rare,Unlimited,Legacy Pack,,66235877,,"""Cave Dragon"" + ""Lesser Fiend""
(This card is always treated as an ""Archfiend"" card.)
A Fusion Summon of this card can only be done with the above Fusion Material Monsters. Negate the effects of Flip Effect Monsters. Negate any Trap effects that target this card on the field, and if you do, destroy that Trap Card.",Monster,Fusion;Effect,Dragon,WIND,2000,1200,5,,,
Fiend Sword ,0,Common,Unlimited,Legacy Pack,,22855882,,Whoever resists the curse of this blade will gain untold power.,Monster,Normal,Warrior,DARK,1400,800,4,,,
Fierce Tiger Monghu ,0,Rare,Unlimited,Climax of the Showdown; Master Pack,,27012717,,"All other monsters on the field lose 500 ATK. Once per turn, during your Main Phase: You can destroy all monsters on the field with less ATK than this card.",Monster,Effect,Beast,EARTH,1700,1000,4,,,
Fiery Fervor ,0,Super Rare,Unlimited,Legacy Pack,,68054593,,"Target 1 face-up monster you control; equip this card to that target. If your opponent controls a monster with ATK higher than that same monster's original ATK, the ATK of the equipped monster becomes double the equipped monster's original ATK, during the Damage Step only.",Trap,Normal,,,,,,,,
Fifth Hope ,0,Common,Unlimited,Master Pack; The First Heroes,,55428811,,"Target 5 ""Elemental HERO"" cards in your GY; shuffle them into the Deck, then draw 2 cards, or draw 3 cards instead, if you had no other cards on your field and in your hand when you activated this card.",Spell,Normal,,,,,,,,
Fighting Dirty ,0,Rare,Unlimited,Legacy Pack,,85862791,,"If a card(s) you control and a card(s) your opponent controls are destroyed by battle or card effect at the same time: Each player draws 2 cards. You can only activate 1 ""Fighting Dirty"" per turn.",Trap,Normal,,,,,,,,
Fighting Flame Dragon ,0,Super Rare,Unlimited,Geas of the Light; Master Pack,,36319131,,"1 Dragon monster + 1 FIRE Warrior monster
Except during the Damage Step (Quick Effect): You can target 1 Warrior Fusion Monster you control; equip this card from your field or GY to that monster you control as an Equip Spell. You can only use this effect of ""Fighting Flame Dragon"" once per turn. While this card is equipped to ""Flame Swordsman"" or a monster that mentions it, the equipped monster gains 700 ATK and can make a second attack during each Battle Phase.",Monster,Fusion;Effect,Dragon,FIRE,1700,1600,5,,,
Fighting Flame Swordsman ,0,Super Rare,Unlimited,Geas of the Light; Master Pack,,01047075,,"If this card is Normal or Special Summoned: You can add 1 Spell/Trap that mentions ""Flame Swordsman"" from your Deck to your hand. If this card is sent to the GY: You can send 1 ""Flame Swordsman"" or 1 monster that mentions it from your Deck or Extra Deck to the GY, except ""Fighting Flame Swordsman"". You can only use each effect of ""Fighting Flame Swordsman"" once per turn.",Monster,Effect,Warrior,FIRE,1800,1600,4,,,
Fighting Flame Sword ,0,Super Rare,Unlimited,Geas of the Light; Master Pack,,35697544,,"Activate 1 of these effects;
●Add 1 card from your Deck to your hand that mentions ""Flame Swordsman"", except ""Fighting Flame Sword"".
●When an attack is declared involving a FIRE Warrior monster you control: You can target 1 card on the field; destroy it.
●When your opponent activates a card or effect that targets ""Flame Swordsman"", or a monster(s) that mentions it, that you control: Negate that effect.
You can only activate 1 ""Fighting Flame Sword"" per turn.",Spell,Quick-Play,,,,,,,,
Fighting Spirit ,0,Rare,Unlimited,,,06178850,,"The equipped monster gains 300 ATK for each monster your opponent controls. If it would be destroyed by battle, you can destroy this card instead.",Spell,Equip,,,,,,,,
"Filo, Messenger Fur Hire ",0,Rare,Unlimited,Master Pack; Vessels of Freedom,,36205132,,"During your Main Phase: You can Special Summon 1 monster ""Fur Hire"" from your hand, except ""Filo, Messenger Fur Hire"". If a monster ""Fur Hire"" is Special Summoned to your field while you control this monster (except during the Damage Step): You can target 1 monster ""Fur Hire"" in your GY; Special Summon it in Defense Position, but place it on the bottom of the Deck if it leaves the field. You can only use each effect of ""Filo, Messenger Fur Hire"" once per turn.",Monster,Effect,Winged Beast,WIND,0,0,1,,,
Final Attack Orders ,0,Common,Unlimited,Legacy Pack,,52503575,,All face-up monsters on the field are changed to Attack Position and their battle positions cannot be changed.,Trap,Continuous,,,,,,,,
Final Bringer of the End Times ,0,Super Rare,Unlimited,Dragons' Reincarnation; Master Pack,,54261514,,"Target 1 monster you control and 1 card your opponent controls; destroy them. You can only activate 1 ""Final Bringer of the End Times"" per turn.",Spell,Quick-Play,,,,,,,,
Final Countdown ,0,Ultra Rare,Unlimited,Legacy Pack,,95308449,,"Pay 2000 Life Points. After 20 turns have passed after you activate this card (counting the turn you activate this card as the 1st turn), you win the Duel.",Spell,Normal,,,,,,,,
Final Cross ,0,Super Rare,Unlimited,Evoked Dragon of Miracles; Master Pack; The Synchronized Cosmos,,35756798,,"During your turn, if a Synchro Monster(s) was sent to your GY this turn: Target 1 Synchro Monster you control; it can make a second attack during each Battle Phase this turn, also, if you activated this card by targeting a Synchro Monster with ""Warrior"", ""Synchron"", or ""Stardust"" in its original name, you can make it gain ATK equal to the ATK of 1 Synchro Monster in your GY. You can only activate 1 ""Final Cross"" per turn.",Spell,Quick-Play,,,,,,,,
Final Destiny ,0,Common,Unlimited,Legacy Pack,,18591904,,Discard 5 cards from your hand. Destroy all cards on the field.,Spell,Normal,,,,,,,,
Final Flame ,0,Rare,Unlimited,Legacy Pack,,73134081,,Inflict 600 points of damage to your opponent's Life Points.,Spell,Normal,,,,,,,,
Final Fusion ,0,Super Rare,Unlimited,Fusion Potential; Master Pack,,89719143,,"During either player's Battle Step, when a Fusion Monster you control battles an opponent's Fusion Monster: Target both those Fusion Monsters; negate the attack, and if you do, each player takes damage equal to the combined ATK of both those Fusion Monsters.",Trap,Normal,,,,,,,,
Final Geas ,0,Rare,Unlimited,Legacy Pack,,16832845,,"If a monster(s) with an original Level of 7 or higher is sent from each player's field to the Graveyard this turn: Banish as many monsters from the Graveyards as possible, then you can Special Summon the 1 highest-Level Spellcaster-Type monster among those banished monsters to your field (your choice, if tied).",Trap,Normal,,,,,,,,
Final Gesture ,0,Common,Unlimited,Legacy Pack,,23269426,,"Target 1 face-up Level 3 monster you control; Special Summon 1 monster with the same name as that monster from your hand or Graveyard. Its effects are negated. During the End Phase of this turn, destroy the face-up monster that was targeted by this card.",Spell,Normal,,,,,,,,
Final Inzektion ,0,Common,Unlimited,Beetle Troops Roll Out; Insect Metamorphosis; Master Pack,,51549976,,"Send 5 face-up ""Inzektor"" cards you control to the Graveyard; destroy all cards your opponent controls, also, during the Battle Phase of this turn, your opponent cannot activate monster effects that activate in the hand or Graveyard.",Spell,Normal,,,,,,,,
Final Light ,0,Rare,Unlimited,Magnificence of Angels; Master Pack,,17956906,,"Pay LP in multiples of 1000, then target 1 ""Valkyrie"" monster in your GY with a different name for every 1000 LP paid; Special Summon them, then your opponent can Special Summon monsters with 2000 or less ATK from their GY, up to the number of monsters you Special Summoned by this effect. You can only activate 1 ""Final Light"" per turn.",Spell,Normal,,,,,,,,
Final Psychic Ogre ,0,Rare,Unlimited,Legacy Pack,,87622767,,"If this card destroys an opponent's monster by battle, you can pay 800 Life Points to select 1 Psychic-Type monster in your Graveyard, and add it to your hand.",Monster,Effect,Psychic,EARTH,2200,1700,5,,,
Final Ritual of the Ancients ,0,Rare,Unlimited,Legacy Pack,,60369732,,"This card is used to Ritual Summon ""Reshef the Dark Being"". You must also Tribute monsters whose total Levels equal 8 or more from the field or your hand.",Spell,Ritual,,,,,,,,
Fine ,0,Common,Unlimited,Legacy Pack,,92595643,,Discard 2 cards.,Trap,Normal,,,,,,,,
"Finis Terrae, Tower of the Necroworld ",0,Rare,Unlimited,Crystal Realm Defier; Master Pack; Return of the King,,51849482,,"If you control a Level 10 monster, you can Special Summon this card (from your hand). You can only Special Summon ""Finis Terrae, Tower of the Necroworld"" once per turn this way. If this card is sent to the GY: You can target 1 face-up card on the field; that card cannot be destroyed by card effects this turn. You can only use this effect of ""Finis Terrae, Tower of the Necroworld"" once per turn.",Monster,Effect,Zombie,WATER,1000,2800,10,,,
Finite Cards ,0,Super Rare,Unlimited,Legacy Pack,,48310593,,The hand size limit of each player becomes 3.,Spell,Continuous,,,,,,,,
Firebird ,0,Common,Unlimited,Legacy Pack,,87473172,,"Each time a Winged Beast-Type monster(s) on your side of the field is destroyed, this card gains 500 ATK.",Monster,Effect,Winged Beast,FIRE,1000,800,4,,,
Firebrand Hymnist ,0,Super Rare,Unlimited,Beasts of the Inferno; Master Pack,,00373085,,"When this card is Normal Summoned: You can send cards from the top of your opponent's Deck to the GY, equal to the number of cards they control. If this card is Special Summoned: You can send cards from the top of your Deck to the GY, equal to the number of cards your opponent controls. You can only use this effect of ""Firebrand Hymnist"" once per turn.",Monster,Effect,Pyro,FIRE,800,200,3,,,
Firegrass ,0,Common,Unlimited,Legacy Pack,,53293545,,A fire-breathing plant found growing near volcanoes.,Monster,Normal,Plant,EARTH,700,600,2,,,
Firestorms Over Atlantis ,0,Common,Unlimited,Forgotten City Dwellers; Master Pack; Roused from Destruction; Wrath of the Tyrants,,17151328,,"Activate 1 of these effects;
●Discard 1 WATER monster to the GY, then target 1 face-up monster your opponent controls; destroy it.
●Destroy 1 FIRE monster in your hand, then you can draw 1 card.
If only your opponent controls a monster: You can banish this card from your GY, then target 1 Level 7 or 8 WATER or FIRE monster in your GY; Special Summon it. You can only use each effect of ""Firestorms Over Atlantis"" once per turn.",Spell,Normal,,,,,,,,
Firestorm Prominence ,0,Common,Unlimited,Legacy Pack,,13846680,,"When this card is destroyed by battle and sent to the Graveyard, destroy all face-down and non-FIRE monsters.",Monster,Effect,Reptile,FIRE,2000,1500,7,,,
Fires of Doomsday ,0,Rare,Unlimited,Master Pack; The Infinite Void,,46173679,,"Special Summon 2 ""Doomsday Tokens"" (Fiend/DARK/Level 1/ATK 0/DEF 0) in Defense Position. They cannot be Tributed for a Tribute Summon, unless it is for a DARK monster. You cannot Summon other monsters the turn you activate this card (but you can Normal Set).",Spell,Quick-Play,,,,,,,,
Firewall ,0,Common,Unlimited,Beasts of the Inferno; Master Pack,,94804055,,"When your opponent declares a direct attack: You can banish 1 Pyro monster in your GY; negate the attack. Once per turn, during your Standby Phase, pay 500 LP or destroy this card.",Trap,Continuous,,,,,,,,
Firewall Defenser ,0,Rare,Unlimited,Master Pack; Singularity Warrior; Soldiers from the Storm,,20455229,,"If this card is sent to the GY as material for the Link Summon of a Cyberse monster: You can Special Summon 1 ""Firewall"" monster from your Deck, except ""Firewall Defenser"". You cannot Special Summon the turn you activate this effect, except Cyberse monsters. If a ""Firewall"" monster(s) you control would be destroyed by card effect, you can banish this card from your GY instead. You can only use each effect of ""Firewall Defenser"" once per turn.",Monster,Effect,Cyberse,DARK,1200,1500,4,,,
Firewall Dragon ,0,Ultra Rare,Unlimited,Master Pack; Revival of Legends; Soldiers from the Storm,,05043010,,"2+ monsters
Once while face-up on the field (Quick Effect): You can target monsters on the field and/or GY up to the number of monsters co-linked to this card; return them to the hand. If a monster this card points to is destroyed by battle or sent to the GY: You can Special Summon 1 Cyberse monster from your hand. You can only use each effect of ""Firewall Dragon"" once per turn.",Monster,Link;Effect,Cyberse,LIGHT,2500,,,,4,Middle-Left; Top-Center; Middle-Right; Bottom-Center
Firewall Dragon Darkfluid ,0,Super Rare,Unlimited,Master Pack; Singularity Warrior; Soldiers from the Storm,,68934651,,"3+ Effect Monsters
If this card is Link Summoned: You can place counters on this card equal to the number of different types of Cyberse monsters in your GY (Ritual, Fusion, Synchro, Xyz). This card gains 2500 ATK for each counter on it during the Battle Phase only. When your opponent activates a monster effect (Quick Effect): You can remove 1 counter from this card; negate the activation, also, if this effect was activated between this card's attack declaration and the end of the Damage Step, this card can make another attack in a row.",Monster,Link;Effect,Cyberse,DARK,3000,,,,5,Middle-Left; Bottom-Right; Bottom-Left; Middle-Right; Top-Center
Firewall Dragon Darkfluid - Neo Tempest Terahertz ,0,Super Rare,Unlimited,Inherited Unity; Master Pack; Soldiers from the Storm,,64211118,,"3+ Cyberse monsters
Negate any monster effects activated by your opponent during the Battle Phase. (Quick Effect): You can send 1 Cyberse monster from your Deck or Extra Deck to the GY, and if you do, this card gains the Attribute of that monster sent to the GY, also it gains 2500 ATK. You can only use this effect of ""Firewall Dragon Darkfluid - Neo Tempest Terahertz"" once per turn. This card can attack monsters a number of times each Battle Phase, up to the number of different Attributes it has.",Monster,Link;Effect,Cyberse,DARK,3000,,,,5,Middle-Left; Bottom-Left; Bottom-Right; Middle-Right; Top-Center
Firewall Dragon Singularity ,0,Ultra Rare,Unlimited,Master Pack; Singularity Warrior; Soldiers from the Storm,,21637210,,"3+ Effect Monsters
(Quick Effect): You can target cards your opponent controls or in their GY up to the number of different card types (Ritual, Fusion, Synchro, Xyz) you control and in your GY; return them to the hand, also this card gains 500 ATK for each returned card. If a monster this card points to is destroyed by battle, or sent to the GY: You can target 1 Cyberse monster in your GY; Special Summon it. You can only use each effect of ""Firewall Dragon Singularity"" once per turn.",Monster,Link;Effect,Cyberse,DARK,3500,,,,6,Top-Left; Middle-Left; Bottom-Center; Middle-Right; Top-Right; Top-Center
Firewall eXceed Dragon ,0,Rare,Unlimited,Master Pack; Singularity Warrior; Soldiers from the Storm,,21065189,,"2+ Level 4 monsters
This Xyz Summoned card gains 500 ATK x the total Link Rating of Link Monsters linked to this card. You can detach 2 materials from this card, then target 1 Link-4 Cyberse Link Monster in your GY; Special Summon it to your field so it points to this card, also you cannot Special Summon other monsters or attack directly for the rest of this turn.",Monster,Xyz;Effect,Cyberse,DARK,2500,2000,4,,,
Firewall Guardian ,0,Rare,Unlimited,Legacy Pack,,86605184,,"If this card is sent to the GY as material for the Link Summon of a Cyberse monster: You can Special Summon this card, but banish it when it leaves the field. When an attack is declared involving your Link Monster and an opponent's Link Monster: You can banish this card from your GY; negate that attack, and if you do, until the end of this turn, the original ATK of that opponent's monster becomes 0, also it is unaffected by other card effects, except its own. You can only use each effect of ""Firewall Guardian"" once per turn.",Monster,Effect,Cyberse,DARK,100,2000,4,,,
Firewall Phantom ,0,Super Rare,Unlimited,Master Pack; Singularity Warrior; Soldiers from the Storm,,57940938,,"If this card is sent to the GY as material for the Link Summon of a Cyberse monster: You can add 1 ""Cynet"" Spell/Trap from your Deck to your hand, then discard 1 card. You can banish this card from your GY; during the End Phase of this turn, shuffle 1 Cyberse monster from your GY into the Deck. You can only use each effect of ""Firewall Phantom"" once per turn.",Monster,Effect,Cyberse,DARK,2000,1300,5,,,
Firewing Pegasus ,0,Rare,Unlimited,Legacy Pack,,27054370,,A heavenly stallion soaring through the skies on crimson wings.,Monster,Normal,Beast,FIRE,2250,1800,6,,,
Fireyarou ,0,Common,Unlimited,Legacy Pack,,71407486,,A malevolent creature wrapped in flames that attacks enemies with intense fire.,Monster,Normal,Pyro,FIRE,1300,1000,4,,,
Fire Ant Ascator ,0,Common,Unlimited,Master Pack; Terra Firma Transcendents,,78275321,,"When this card is destroyed by battle and sent to the GY: You can target 1 Level 5 monster in your GY; Special Summon that target, but its effects are negated, also send it to the GY during the End Phase of this turn.",Monster,Tuner;Effect,Insect,EARTH,700,1300,3,,,
Fire Cracker ,0,Rare,Unlimited,Beasts of the Inferno; Master Pack,,81109178,,"(Quick Effect): You can discard this card; inflict 1000 damage to your opponent, and if you do, skip your next Draw Phase. You can only use this effect of ""Fire Cracker"" once per turn. Each time your opponent takes effect damage, place 1 counter on this card. Once per turn, during the End Phase: Remove all counters from this card that were placed by its effect, and if you do, inflict 300 damage to your opponent for each.",Monster,Effect,Fiend,FIRE,1700,200,4,,,
Fire Darts ,0,Common,Unlimited,Legacy Pack,,43061293,,"You can only activate this card when you have no cards in your hand. Roll a six-sided die 3 times, and inflict damage to your opponent's Life Points equal to the total result of the die rolls x 100 points.",Trap,Normal,,,,,,,,
Fire Ejection ,0,Super Rare,Unlimited,Beasts of the Inferno; Blazing Arena; Dragons' Reincarnation; Master Pack,,11654067,,"Send 1 Pyro monster from your Deck to the GY, then, if you sent a ""Volcanic"" monster to the GY, you can apply 1 of these effects.
●Inflict damage to your opponent equal to its Level x 100.
●Special Summon 1 ""Bomb Token"" (Pyro/FIRE/Level 1/ATK 1000/DEF 1000) to your opponent's field. Each time 1 is destroyed, its controller takes 500 damage.
You can only activate 1 ""Fire Ejection"" per turn.",Spell,Normal,,,,,,,,
Fire Eye ,0,Common,Unlimited,Legacy Pack,,88435542,,An eye engulfed in flames that flaps its wings to create hot blasts of air.,Monster,Normal,Pyro,FIRE,800,600,2,,,
Fire Fighting Daruma Doll ,0,Rare,Unlimited,Beasts of the Inferno; Master Pack; Mighty Contenders; Roused from Destruction,,64514892,,"2 Beast, Beast-Warrior, and/or Winged Beast monsters
This card gains 100 ATK for each Beast, Beast-Warrior, and Winged Beast monster on the field. Once per turn: You can target 1 Spell/Trap on each field; destroy them. When this card destroys an opponent's monster by battle: You can target 1 of your Beast, Beast-Warrior, or Winged Beast monsters, that is banished or is in your GY; add it to your hand.",Monster,Link;Effect,Beast-Warrior,FIRE,1500,,,,2,Bottom-Left; Bottom-Right
Fire Flint Lady ,0,Rare,Unlimited,Geas of the Light; Master Pack; The Noble Knights of Crimson Flowers; Victory in Progress,,42052439,,"If you control a Warrior monster: You can Special Summon this card from your hand. You can send this card from the field to the GY; Special Summon 1 Level 4 or lower Warrior monster from your hand, and if you do, your opponent cannot target it with card effects this turn. You can only use each effect of ""Fire Flint Lady"" once per turn.",Monster,Effect,Warrior,FIRE,100,100,1,,,
Fire Formation - Domei ,0,Common,Unlimited,Guardians of Fire; Master Pack,,93754402,,"When this card is activated: You can Ritual Summon 1 Beast-Warrior Ritual Monster from your hand, by Tributing monsters from your hand or field whose total Levels equal or exceed its Level. If this face-up card is sent from the Spell & Trap Zone to the GY: You can target 1 ""Fire Fist"" monster in your GY; Special Summon it. You can only use this effect of ""Fire Formation - Domei"" once per turn. You can only activate 1 ""Fire Formation - Domei"" per turn.",Spell,Continuous,,,,,,,,
Fire Formation - Gyokkou ,0,Rare,Unlimited,Guardians of Fire; Master Pack,,19059929,,"Activate this card by targeting 1 Set Spell/Trap your opponent controls. Your opponent cannot activate the targeted card in response to this card's activation. While this card is face-up on the field, that Set card cannot be activated. All Beast-Warrior monsters you control gain 100 ATK.",Spell,Continuous,,,,,,,,
Fire Formation - Ingen ,0,Common,Unlimited,Guardians of Fire; Master Pack,,29143457,,"When this card is activated: You can Fusion Summon 1 Beast-Warrior Fusion Monster from your Extra Deck, using monsters from your hand or field as Fusion Material. If this face-up card is sent from the Spell & Trap Zone to the GY: You can target 1 ""Fire Fist"" monster in your GY; add it to your hand. You can only use this effect of ""Fire Formation - Ingen"" once per turn. You can only activate 1 ""Fire Formation - Ingen"" per turn.",Spell,Continuous,,,,,,,,
Fire Formation - Kaiyo ,0,Common,Unlimited,Legacy Pack,,33665663,,"During the turn this card is activated, if a Beast-Warrior-Type monster you control attacks a Defense Position monster, inflict piercing battle damage to your opponent. (This applies even if this card leaves the field.) All Beast-Warrior-Type monsters you control gain 300 ATK.",Trap,Continuous,,,,,,,,
Fire Formation - Tenken ,0,Common,Unlimited,Guardians of Fire; Master Pack,,70329348,,"Activate only during Main Phase 1. When this card is activated: Target 1 Beast-Warrior-Type monster you control; during this phase, its effects are negated, also it is unaffected by the effects of cards other than this card. (This applies even if this card leaves the field.) All Beast-Warrior-Type monsters you control gain 300 ATK.",Trap,Continuous,,,,,,,,
Fire Formation - Tenki ,0,Super Rare,Unlimited,Guardians of Fire; Master Pack; Mighty Contenders,,57103969,,"When this card is activated: You can add 1 Level 4 or lower Beast-Warrior monster from your Deck to your hand. All Beast-Warrior monsters you control gain 100 ATK. You can only activate 1 ""Fire Formation - Tenki"" per turn.",Spell,Continuous,,,,,,,,
Fire Formation - Tensen ,0,Common,Unlimited,Guardians of Fire; Master Pack,,44920699,,When this card is activated: Target 1 Beast-Warrior-Type monster you control; it gains 700 ATK until the end of this turn. (This ATK gain remains even if this card leaves the field.) All Beast-Warrior-Type monsters you control gain 300 ATK.,Trap,Continuous,,,,,,,,
Fire Formation - Tensu ,0,Rare,Unlimited,Guardians of Fire; Master Pack; Mighty Contenders,,10719350,,"During your Main Phase, you can Normal Summon 1 Beast-Warrior monster in addition to your Normal Summon/Set. (You can only gain this effect once per turn.) All Beast-Warrior monsters you control gain 100 ATK.",Spell,Continuous,,,,,,,,
Fire Formation - Yoko ,0,Super Rare,Unlimited,Guardians of Fire; Master Pack,,36499284,,"When this card is activated: You can target 1 face-up card your opponent controls; discard 1 Beast-Warrior monster, and if you do, destroy that card. All Beast-Warrior monsters you control gain 100 ATK.",Spell,Continuous,,,,,,,,
